Date,Distance walking / running(mi),Distance walking / running(mi) MOVING AVERAGE
2021-10-16,2.914,3.0226561171180846
2021-10-17,0.908,2.8111905054062762
2021-10-18,3.022,2.8322714548656487
2021-10-19,2.813,2.830344309379084
2021-10-20,2.767,2.8240098784411756
2021-10-21,3.832,2.924808890597058
2021-10-22,2.484,2.8807280015373524
2021-10-23,0.794,2.672055201383617
2021-10-24,0.759,2.4807496812452556
2021-10-25,1.255,2.35817471312073
2021-10-26,2.425,2.3648572418086573
2021-10-27,3.193,2.4476715176277914
2021-10-28,4.195,2.6224043658650125
2021-10-29,2.629,2.623063929278511
2021-10-30,0.499,2.41065753635066
2021-10-31,2.997,2.4692917827155942
2021-11-01,1.866,2.4089626044440346
2021-11-02,2.174,2.385466343999631
2021-11-03,2.934,2.440319709599668
2021-11-04,4.321,2.6283877386397014
2021-11-05,4.223,2.787848964775731
2021-11-06,2.008,2.709864068298158
2021-11-07,0.896,2.528477661468342
2021-11-08,2.575,2.533129895321508
2021-11-09,3.507,2.6305169057893574
2021-11-10,2.277,2.5951652152104216
2021-11-11,3.7,2.7056486936893793
2021-11-12,2.517,2.6867838243204414
2021-11-13,2.684,2.6865054418883973
2021-11-14,1.273,2.5451548976995575
2021-11-15,4.515,2.742139407929602
2021-11-16,1.703,2.6382254671366416
2021-11-17,2.624,2.6368029204229773
2021-11-18,4.532,2.8263226283806797
2021-11-19,3.492,2.892890365542612
2021-11-20,0.507,2.654301328988351
2021-11-21,0.004,2.3892711960895157
