Date,Headphone sound levels(dBASPL),Headphone sound levels(dBASPL) MOVING AVERAGE
2021-06-15,60.104,57.959823396132414
2021-06-16,60.803,58.24414105663762
2021-06-17,53.526,57.77232695079696
2021-06-19,87.8447622402042,60.779570480752454
2021-06-19,103.379,65.03951343397094
2021-06-20,68.528,65.38836209066919
2021-06-21,103.621,69.21162588254278
2021-06-22,73.911,69.68156329439253
2021-06-23,60.047,68.7181069647613
2021-06-24,101.606,72.00689626887495
2021-06-25,102.079,75.01410664247281
2021-06-26,54.751,72.9877959779312
2021-06-29,55.85969365248745,71.2749857451629
2021-06-29,87.99266904560452,72.94675407540376
2021-06-29,98.157,75.46777866813035
2021-06-30,62.783,74.19930080119643
2021-07-01,60.868,72.86617072096244
2021-07-02,107.224,76.30195364913143
2021-07-03,104.557,79.1274582844146
2021-07-04,69.354,78.15011245591204
2021-07-05,58.471,76.1822012102101
2021-07-06,63.855,74.94948108912666
2021-07-07,51.758,72.63033298010829
2021-07-08,52.251,70.59239968201386
2021-07-09,64.597,69.99285971379034
2021-07-10,61.157,69.10927374238194
2021-07-11,56.269,67.82524636810535
2021-07-12,62.75,67.31772173128115
2021-07-13,55.869,66.17284955812531
2021-07-14,57.872,65.34276460229468
2021-07-15,56.571,64.465588142048
2021-07-16,42.909,62.309929327805136
2021-07-17,63.379,62.41683639502632
2021-07-18,58.5,62.025152755518086
2021-07-19,66.048,62.42743747997146
2021-07-20,64.832,62.6678937319771
2021-07-21,62.101,62.6112043587788
2021-07-22,56.848,62.0348839228955
2021-07-23,59.926,61.82399553060417
2021-07-24,57.11,61.35259597754017
2021-07-25,58.76,61.093336379784375
2021-07-26,63.24,61.308002741807265
2021-07-27,63.65,61.54220246762784
2021-07-28,63.099,61.697882220865836
2021-07-29,44.063,59.934393998771334
2021-07-30,55.092,59.45015459889225
2021-07-31,62.198,59.72493913900402
2021-08-01,62.738,60.02624522510461
2021-08-02,59.839,60.0075207025941
2021-08-03,69.918,60.99856863233731
2021-08-04,52.737,60.17241176910161
2021-08-05,59.745,60.12967059219136
2021-08-06,63.886,60.50530353297295
2021-08-07,66.043,61.059073179676616
2021-08-08,70.856,62.03876586171049
2021-08-09,60.347,61.86958927553919
2021-08-10,74.933,63.17593034798693
2021-08-11,67.097,63.56803731318868
2021-08-12,64.892,63.70043358186996
2021-08-13,61.628,63.493190223682774
2021-08-14,50.238,62.1676712013134
2021-08-15,61.849,62.135804081182044
2021-08-16,103.062,66.2284236730666
2021-08-17,100.02,69.60758130576198
2021-08-18,103.033,72.95012317518761
2021-08-19,45.534,70.2085108576675
2021-08-20,52.263,68.41395977189995
2021-08-21,64.391,68.0116637947098
2021-08-22,61.131,67.32359741523858
2021-08-23,60.309,66.62213767371449
2021-08-24,103.457,70.30562390634411
2021-08-25,103.205,73.59556151571057
2021-08-26,62.537,72.48970536413925
2021-08-27,49.804,70.22113482772484
2021-08-28,58.599,69.05892134495214
2021-08-29,65.283,68.68132921045685
2021-08-30,60.418,67.85499628941105
2021-08-31,71.31,68.20049666047
2021-09-01,77.228,69.1032469944231
2021-09-02,67.922,68.98512229498078
2021-09-03,57.474,67.8340100654826
2021-09-04,103.138,71.36440905893467
2021-09-05,63.128,70.54076815304114
2021-09-06,66.464,70.13309133773699
2021-09-07,62.901,69.40988220396324
2021-09-08,64.156,68.88449398356688
2021-09-09,69.063,68.9023445852102
2021-09-10,61.25,68.13711012668915
2021-09-11,57.618,67.0851991140202
2021-09-12,102.316,70.60827920261832
2021-09-13,54.569,69.00435128235642
2021-09-14,59.866,68.09051615412075
2021-09-16,67.43279672932803,68.02474421164148
2021-09-16,58.521,67.0743697904773
2021-09-17,52.305,65.59743281142953
2021-09-18,69.437,65.98138953028658
2021-09-19,53.613,64.7445505772579
2021-09-20,62.927,64.5627955195321
2021-09-21,54.105,63.517015967578885
2021-09-22,57.337,62.899014370820986
2021-09-23,60.316,62.64071293373889
2021-09-24,73.445,63.72114164036502
2021-09-26,74.25696776693334,64.77472425302187
2021-09-26,63.835,64.68075182771969
2021-09-27,57.427,63.95537664494772
2021-09-28,65.795,64.13933898045295
2021-09-29,53.265,63.05190508240765
2021-09-30,73.432,64.0899145741669
2021-10-01,52.472,62.9281231167502
2021-10-04,38.478012561920316,60.4831120612672
2021-10-04,41.94268918890837,58.629069774031315
2021-10-04,51.557,57.92186279662818
2021-10-05,60.086,58.13827651696537
2021-10-06,62.181,58.542548865268834
2021-10-07,43.41,57.02929397874195
2021-10-08,81.242,59.450564580867756
2021-10-09,73.832,60.88870812278098
2021-10-10,68.15,61.614837310502885
2021-10-11,62.736,61.72695357945259
2021-10-12,61.578,61.712058221507334
2021-10-13,62.082,61.7490523993566
2021-10-14,61.083,61.68244715942094
2021-10-15,53.282,60.842402443478846
2021-10-16,61.125,60.870662199130955
2021-10-17,58.935,60.67709597921786
2021-10-18,59.626,60.57198638129607
2021-10-19,56.69,60.18378774316646
2021-10-20,49.723,59.13770896884981
2021-10-21,65.503,59.774238071964824
2021-10-22,61.165,59.91331426476833
2021-10-23,72.397,61.161682838291505
2021-10-24,66.426,61.68811455446235
2021-10-25,64.11,61.93030309901612
2021-10-26,72.132,62.95047278911451
2021-10-27,75.069,64.16232551020305
2021-10-28,64.53,64.19909295918274
2021-10-29,62.211,64.00028366326447
2021-10-30,58.368,63.43705529693803
2021-10-31,70.92,64.18534976724422
2021-11-01,55.132,63.28001479051979
2021-11-02,55.169,62.468913311467816
2021-11-03,54.853,61.70732198032103
2021-11-04,71.195,62.65608978228894
2021-11-05,60.63,62.45348080406004
2021-11-06,74.64,63.67213272365403
2021-11-07,69.931,64.29801945128864
2021-11-08,66.789,64.54711750615976
2021-11-09,61.509,64.24330575554379
2021-11-10,63.047,64.12367517998942
2021-11-11,66.773,64.38860766199048
2021-11-12,39.108,61.86054689579142
2021-11-13,62.86,61.96049220621228
2021-11-14,57.851,61.54954298559105
2021-11-15,67.191,62.113688687031946
2021-11-16,62.403,62.14261981832875
2021-11-17,65.809,62.50925783649587
2021-11-18,62.816,62.53993205284629
2021-11-19,57.094,61.99533884756166
2021-11-20,59.618,61.757604962805495
2021-11-21,60.938,61.67564446652494
