Date,Flights climbed(count),Flights climbed(count) MOVING AVERAGE
2021-05-30,3.0,7.31773201452431
2021-05-31,9.0,7.485958813347591
2021-06-01,5.0,7.237362931646143
2021-06-02,6.0,7.113626638317265
2021-06-03,5.0,6.902263974233006
2021-06-04,7.0,6.912037576820215
2021-06-05,10.0,7.220833819437039
2021-06-06,6.0,7.098750437387
2021-06-07,4.0,6.788875393405389
2021-06-08,5.0,6.609987853938644
2021-06-09,8.0,6.748989068633039
2021-06-10,2.0,6.274090161498348
2021-06-11,5.0,6.146681145282985
2021-06-12,21.0,7.632013031442222
2021-06-13,6.0,7.468811728230011
2021-06-14,6.0,7.321930555351939
2021-06-15,2.0,6.789737499637161
2021-06-16,7.0,6.810763749679829
2021-06-17,4.0,6.52968737463502
2021-06-18,3.0,6.176718637084689
2021-06-19,13.0,6.859046773527285
2021-06-20,3.0,6.4731420960976624
2021-06-21,9.0,6.72582788653321
2021-06-22,9.0,6.953245097916594
2021-06-23,6.0,6.857920588111087
2021-06-24,3.0,6.4721285292495425
2021-06-25,7.0,6.5249156763307985
2021-06-26,3.0,6.172424108660392
2021-06-27,6.0,6.15518169779271
2021-06-28,5.0,6.039663528003531
2021-06-29,9.0,6.33569717522603
2021-06-30,4.0,6.1021274576871996
2021-07-01,3.0,5.791914711899082
2021-07-02,3.0,5.512723240693462
2021-07-03,4.0,5.361450916616454
2021-07-04,1.0,4.925305824934928
2021-07-05,2.0,4.632775242429434
2021-07-06,2.0,4.3694977181767705
2021-07-07,4.0,4.332547946357866
2021-07-08,5.0,4.399293151724075
2021-07-09,3.0,4.259363836547901
2021-07-10,11.0,4.93342745290944
2021-07-11,4.0,4.840084707616461
2021-07-12,5.0,4.856076236855128
2021-07-13,8.0,5.170468613175168
2021-07-14,4.0,5.05342175185579
2021-07-15,2.0,4.748079576665844
2021-07-16,5.0,4.773271618999583
2021-07-17,2.0,4.495944457096412
2021-07-18,15.0,5.546350011397724
2021-07-19,10.0,5.991715010262132
2021-07-20,4.0,5.792543509234236
2021-07-21,7.0,5.913289158311731
2021-07-22,5.0,5.821960242479933
2021-07-23,3.0,5.539764218230202
2021-07-24,7.0,5.6857877964079915
2021-07-25,5.0,5.61720901676685
2021-07-26,8.0,5.855488115091235
2021-07-27,3.0,5.5699393035809575
2021-07-28,8.0,5.812945373223745
2021-07-29,10.0,6.231650835902741
2021-07-30,7.0,6.308485752312693
2021-07-31,8.0,6.477637177081872
2021-08-01,20.0,7.829873459376912
2021-08-02,5.0,7.546886113438612
2021-08-03,5.0,7.292197502094259
2021-08-04,5.0,7.062977751884434
2021-08-05,6.0,6.956679976695824
