Date,Step count(count),Step count(count) MOVING AVERAGE
2021-09-29,5681.358,6231.047125969848
2021-09-30,11752.642,6783.206613372866
2021-10-01,7142.0,6819.08595203558
2021-10-02,2915.0,6428.67735683202
2021-10-03,3606.0,6146.409621148818
2021-10-04,5234.0,6055.168659033935
2021-10-05,4521.0,5901.751793130541
2021-10-06,6050.934,5916.670013817487
2021-10-07,10274.066,6352.409612435739
2021-10-08,7251.0,6442.268651192166
2021-10-09,14995.0,7297.54178607295
2021-10-10,3280.0,6895.787607465655
2021-10-11,5468.0,6753.00884671909
2021-10-12,7043.0,6782.007962047181
2021-10-13,7981.0,6901.907165842462
2021-10-14,8308.0,7042.516449258215
2021-10-15,6185.0,6956.7648043323925
2021-10-16,6819.0,6942.988323899152
2021-10-17,2274.0,6476.089491509237
2021-10-18,6931.0,6521.580542358312
2021-10-19,6833.0,6552.722488122481
2021-10-20,6744.0,6571.8502393102335
2021-10-21,8206.0,6735.26521537921
2021-10-22,6105.0,6672.238693841288
2021-10-23,1932.0,6198.214824457159
2021-10-24,1713.0,5749.693342011443
2021-10-25,2760.0,5450.724007810299
2021-10-26,5191.0,5424.751607029269
2021-10-27,7148.0,5597.076446326342
2021-10-28,9239.0,5961.268801693708
2021-10-29,5920.236,5957.165521524336
2021-10-30,1151.764,5476.625369371903
2021-10-31,7007.0,5629.662832434713
2021-11-01,4356.0,5502.296549191242
2021-11-02,4889.0,5440.966894272117
2021-11-03,6615.797,5558.449904844905
2021-11-04,9475.203,5950.125214360415
2021-11-05,9954.0,6350.512692924374
2021-11-06,4895.0,6204.961423631937
2021-11-07,2082.0,5792.665281268743
2021-11-08,5970.0,5810.398753141868
2021-11-09,7634.099,5992.768777827681
2021-11-10,5075.901,5901.082000044913
2021-11-11,8605.0,6171.473800040421
2021-11-12,5599.0,6114.226420036379
2021-11-13,6616.0,6164.403778032742
2021-11-14,2879.0,5835.863400229467
2021-11-15,10023.0,6254.57706020652
2021-11-16,3940.0,6023.119354185868
2021-11-17,6022.0,6023.007418767282
2021-11-18,10571.0,6477.806676890554
2021-11-19,8361.0,6666.126009201498
2021-11-20,1257.0,6125.213408281348
2021-11-21,9.0,5513.592067453213
