Date,Time in bed(hr)
2021-03-10 07:13:30 - 2021-03-10 07:13:50,0.006
2021-03-10 07:22:52 - 2021-03-10 07:23:08,0.004
2021-03-10 07:31:59 - 2021-03-10 07:32:04,0.001
2021-03-11 02:53:15 - 2021-03-11 04:27:11,1.566
2021-03-11 04:27:31 - 2021-03-11 07:30:12,3.045
2021-03-12 23:30:00 - 2021-03-13 03:22:09,3.869
2021-03-13 03:22:19 - 2021-03-13 07:30:17,4.133
2021-03-14 04:56:04 - 2021-03-14 10:11:34,5.258
2021-03-15 00:54:12 - 2021-03-15 07:39:36,6.757
2021-03-16 01:32:52 - 2021-03-16 01:33:02,0.003
2021-03-16 01:33:19 - 2021-03-16 09:43:33,8.171
2021-03-17 00:57:57 - 2021-03-17 07:33:11,6.587
2021-03-17 07:33:22 - 2021-03-17 07:33:27,0.001
2021-03-17 07:36:48 - 2021-03-17 07:46:14,0.157
2021-03-17 23:30:00 - 2021-03-18 07:40:34,8.176
2021-03-19 00:21:49 - 2021-03-19 07:42:20,7.342
2021-03-19 07:50:24 - 2021-03-19 07:50:54,0.008
2021-03-19 07:51:00 - 2021-03-19 07:51:12,0.003
2021-03-19 08:00:10 - 2021-03-19 08:00:18,0.002
2021-03-19 08:02:20 - 2021-03-19 08:02:24,0.001
2021-03-19 08:02:29 - 2021-03-19 08:02:54,0.007
2021-03-19 08:06:57 - 2021-03-19 08:07:00,0.001
2021-03-20 02:26:36 - 2021-03-20 09:35:54,7.155
2021-03-20 09:37:31 - 2021-03-20 09:37:41,0.003
2021-03-20 09:37:47 - 2021-03-20 09:39:15,0.024
2021-03-20 09:39:17 - 2021-03-20 09:39:19,0.001
2021-03-20 09:40:15 - 2021-03-20 09:40:46,0.009
2021-03-20 09:41:33 - 2021-03-20 09:42:40,0.019
2021-03-20 09:42:45 - 2021-03-20 09:45:02,0.038
2021-03-20 09:45:04 - 2021-03-20 09:45:15,0.003
2021-03-20 09:45:25 - 2021-03-20 09:46:18,0.015
2021-03-20 09:46:20 - 2021-03-20 09:46:25,0.001
2021-03-20 09:46:27 - 2021-03-20 09:46:44,0.005
2021-03-20 09:47:24 - 2021-03-20 09:49:33,0.036
2021-03-20 09:49:54 - 2021-03-20 09:50:26,0.009
2021-03-20 09:50:28 - 2021-03-20 09:50:41,0.004
2021-03-20 09:50:53 - 2021-03-20 09:53:17,0.040
2021-03-20 09:53:18 - 2021-03-20 09:53:20,0.001
2021-03-21 08:39:20 - 2021-03-21 08:39:22,0.001
2021-03-22 01:18:05 - 2021-03-22 01:58:50,0.679
2021-03-22 01:58:51 - 2021-03-22 01:58:52,0.000
2021-03-22 01:58:53 - 2021-03-22 02:49:29,0.843
2021-03-22 02:49:30 - 2021-03-22 02:55:27,0.099
2021-03-22 03:00:08 - 2021-03-22 03:00:10,0.001
2021-03-22 03:00:11 - 2021-03-22 07:22:40,4.375
2021-03-22 07:22:53 - 2021-03-22 07:22:57,0.001
2021-03-22 07:41:18 - 2021-03-22 07:43:46,0.041
2021-03-22 07:50:29 - 2021-03-22 08:02:08,0.194
2021-03-22 08:03:03 - 2021-03-22 08:03:10,0.002
2021-03-22 08:12:31 - 2021-03-22 08:12:38,0.002
2021-03-23 08:53:54 - 2021-03-23 09:11:56,0.301
2021-03-24 00:45:37 - 2021-03-24 07:34:17,6.811
2021-03-24 07:40:49 - 2021-03-24 07:40:55,0.002
2021-03-24 07:48:26 - 2021-03-24 07:48:34,0.002
2021-03-24 23:57:50 - 2021-03-25 07:54:57,7.952
2021-03-26 00:39:32 - 2021-03-26 07:35:43,6.936
2021-03-27 01:02:00 - 2021-03-27 07:30:44,6.479
2021-03-28 08:01:19 - 2021-03-28 09:43:09,1.697
