Date,Headphone sound levels(dBASPL)
2020-11-29 16:39:06 - 2020-11-29 16:40:42,70.709
2020-11-29 16:55:26 - 2020-11-29 16:55:29,68.314
2020-11-29 16:55:37 - 2020-11-29 16:56:19,67.168
2020-11-29 16:56:31 - 2020-11-29 16:57:05,62.226
2020-11-29 16:57:10 - 2020-11-29 16:57:22,62.717
2020-11-29 16:57:22 - 2020-11-29 16:57:34,65.277
2020-11-29 16:57:34 - 2020-11-29 17:12:31,65.288
2020-11-29 17:14:09 - 2020-11-29 17:35:02,64.247
2020-11-29 17:37:17 - 2020-11-29 17:42:36,59.067
2020-11-29 22:47:04 - 2020-11-29 22:50:06,77.178
2020-11-29 23:51:01 - 2020-11-29 23:52:56,75.812
2020-11-29 23:52:56 - 2020-11-29 23:53:02,71.720
2020-11-29 23:53:02 - 2020-11-29 23:53:05,76.618
2020-11-29 23:53:05 - 2020-11-29 23:53:14,75.578
2020-11-29 23:53:14 - 2020-11-29 23:53:56,77.234
2020-11-29 23:53:56 - 2020-11-29 23:53:59,76.551
2020-11-29 23:54:20 - 2020-11-29 23:54:26,60.026
2020-11-29 23:54:59 - 2020-11-29 23:58:52,69.807
2020-11-29 23:59:12 - 2020-11-29 23:59:15,39.801
2020-11-30 00:00:29 - 2020-11-30 00:01:50,54.768
2020-11-30 00:02:33 - 2020-11-30 00:04:57,48.090
2020-11-30 00:05:29 - 2020-11-30 00:06:42,48.323
2020-11-30 00:06:46 - 2020-11-30 00:36:44,55.383
2020-11-30 00:36:44 - 2020-11-30 00:37:08,53.180
2020-11-30 08:07:39 - 2020-11-30 08:29:58,61.547
2020-11-30 08:30:04 - 2020-11-30 08:32:10,62.731
2020-11-30 08:32:17 - 2020-11-30 08:40:30,62.346
2020-11-30 08:42:14 - 2020-11-30 08:42:17,59.607
2020-11-30 09:07:04 - 2020-11-30 09:07:07,24.401
2020-11-30 09:47:58 - 2020-11-30 10:06:50,51.573
2020-11-30 10:11:09 - 2020-11-30 10:13:55,52.798
2020-11-30 10:14:04 - 2020-11-30 10:16:17,62.000
2020-11-30 10:23:19 - 2020-11-30 10:28:11,59.689
2020-11-30 10:28:11 - 2020-11-30 10:29:17,53.752
2020-11-30 10:29:17 - 2020-11-30 10:29:59,60.167
2020-11-30 10:30:02 - 2020-11-30 10:39:01,61.573
2020-11-30 10:39:04 - 2020-11-30 10:40:10,60.541
2020-11-30 10:40:10 - 2020-11-30 10:40:19,61.050
2020-11-30 10:40:19 - 2020-11-30 10:40:25,59.975
2020-11-30 10:40:25 - 2020-11-30 10:40:43,60.746
2020-11-30 10:40:43 - 2020-11-30 10:41:37,61.012
2020-11-30 10:41:37 - 2020-11-30 10:41:55,61.376
2020-11-30 10:41:55 - 2020-11-30 10:45:14,53.732
2020-11-30 11:56:54 - 2020-11-30 12:13:25,70.781
2020-11-30 12:13:25 - 2020-11-30 12:14:04,75.749
2020-11-30 12:14:04 - 2020-11-30 12:28:16,67.811
2020-11-30 12:28:16 - 2020-11-30 12:28:55,64.499
2020-11-30 12:40:06 - 2020-11-30 12:56:00,68.896
2020-11-30 12:56:00 - 2020-11-30 12:56:28,65.262
2020-11-30 12:56:28 - 2020-11-30 13:09:03,67.933
2020-11-30 13:09:03 - 2020-11-30 13:09:06,62.518
2020-11-30 13:09:06 - 2020-11-30 13:09:36,65.553
2020-11-30 13:10:54 - 2020-11-30 13:11:22,66.666
2020-11-30 13:11:22 - 2020-11-30 13:14:34,62.132
2020-11-30 13:40:00 - 2020-11-30 13:49:08,67.100
2020-11-30 13:50:02 - 2020-11-30 13:54:58,66.865
2020-11-30 13:55:02 - 2020-11-30 14:02:15,66.712
2020-11-30 14:02:15 - 2020-11-30 14:03:28,64.188
2020-11-30 14:11:02 - 2020-11-30 14:11:38,70.195
2020-11-30 14:20:07 - 2020-11-30 14:20:22,69.917
2020-11-30 14:20:22 - 2020-11-30 14:44:15,66.767
2020-11-30 14:46:57 - 2020-11-30 15:00:48,66.939
2020-11-30 15:00:48 - 2020-11-30 15:01:00,68.401
2020-11-30 15:01:00 - 2020-11-30 15:05:10,68.404
2020-11-30 15:05:10 - 2020-11-30 15:05:16,67.668
2020-11-30 15:05:16 - 2020-11-30 15:05:49,67.799
2020-11-30 15:05:49 - 2020-11-30 15:06:13,66.703
2020-11-30 15:16:12 - 2020-11-30 15:16:15,64.431
2020-11-30 20:34:14 - 2020-11-30 20:46:57,61.645
2020-11-30 23:12:05 - 2020-11-30 23:20:33,62.665
2020-11-30 23:20:40 - 2020-11-30 23:23:08,59.720
2020-12-01 12:38:54 - 2020-12-01 12:41:40,67.707
2020-12-01 18:01:53 - 2020-12-01 18:09:42,60.377
